freq_sky_GHz,freq_rest_GHz,vel_kms,spec_mJybeam,espec_mJybeam
342.147428989,342.3815516836248,438.2997121535866,13.872023305095574,0.8890232436865919
342.15318340107086,342.38731003329195,433.2650193984529,13.31935135592481,0.854148588584497
342.15893781314173,342.3930683829592,428.2303266433526,13.24138110172317,0.8451205257223012
342.1646922252126,342.3988267326264,423.1956338882188,13.706629573920672,0.8774691891982127
342.17044663728336,342.4045850822935,418.16094113308526,14.432705169293461,0.92565435878068
342.17620104935435,342.41034343196065,413.12624837798484,14.239649728307787,0.9156000800188151
342.18195546142516,342.4161017816279,408.09155562285133,14.145519860865173,0.9045755891461125
342.18770987349603,342.42186013129515,403.0568628677176,13.20104292765807,0.8451706453026744
342.19346428556685,342.4276184809623,398.0221701126172,13.531729517244793,0.8670171217664279
342.19921869763783,342.4333768306295,392.9874773574836,13.0467987456557,0.8389578449214448
342.20497310970865,342.4391351802966,387.95278460238325,12.650570085835867,0.8128850446558457
342.21072752177946,342.4448935299638,382.9180918472496,12.644265031503428,0.8107924110968745
342.2164819338504,342.4506518796311,377.883399092116,12.372713283826167,0.7937818275117753
342.22223634592115,342.45641022929817,372.8487063370157,12.614345014077568,0.8078551093777908
342.22799075799213,342.46216857896536,367.814013581882,12.75634165149854,0.8172514766715955
342.23374517006295,342.4679269286326,362.7793208267816,12.68570833221921,0.8125391750619969
342.23949958213376,342.47368527829985,357.74462807164804,12.40088057805634,0.7956840779303614
342.24525399420463,342.479443627967,352.70993531651436,12.611252761821488,0.808079472128057
342.2510084062755,342.4852019776342,347.67524256141405,12.732187814396914,0.8142767272531853
342.2567628183464,342.49096032730137,342.6405498062803,13.062374384859714,0.838098130152058
342.26251723041725,342.49671867696856,337.6058570511467,12.504279831526143,0.8039345823655599
342.2682716424881,342.50247702663575,332.5711642960464,13.077422508358186,0.8369953011868323
342.27402605455893,342.50823537630293,327.5364715409127,13.206375002639055,0.850463665568612
342.2797804666298,342.5139937259701,322.5017787858124,12.970759338025887,0.832320051056484
342.2855348787007,342.5197520756373,317.4670860306787,13.350072345122634,0.8581927042282198
342.29128929077154,342.5255104253045,312.43239327554505,13.082824260048673,0.8381483225768738
342.29704370284236,342.5312687749717,307.3977005204447,13.866577373063606,0.891339542399773
342.30279811491334,342.5370271246389,302.36300776531107,13.035365572149713,0.8346387233736678
342.30855252698416,342.54278547430613,297.3283150101774,13.659295953103378,0.8739028444586631
342.314306939055,342.54854382397326,292.293622255077,13.140838094373331,0.8447935579276876
342.3200613511258,342.55430217364045,287.2589294999434,13.707440124523906,0.877969096816314
342.32581576319666,342.5600605233076,282.22423674484304,12.931855079402592,0.828500130860838
342.33157017526764,342.56581887297483,277.1895439897094,14.187109104767082,0.9108387092711182
342.33732458733846,342.57157722264196,272.15485123457574,13.50745093002651,0.8652863123937249
342.3430789994093,342.5773355723092,267.12015847947544,13.446651749592514,0.8621729351172004
342.34883341148014,342.58309392197634,262.08546572434176,13.253497980618988,0.8511720064201843
342.354587823551,342.58885227164365,257.0507729692081,13.009318619723262,0.8334569905128179
342.3603422356219,342.5946106213108,252.01608021410775,13.707382901182282,0.8768706265183854
342.3660966476928,342.600368970978,246.98138745897413,12.819869591062698,0.8199754198783668
342.3718510597636,342.60612732064516,241.94669470387376,13.334820860461397,0.856264833940928
342.3776054718345,342.6118856703124,236.9120019487069,13.323704968661355,0.8556749090996467
342.3833598839053,342.61764401997954,231.8773091936065,13.689893608399817,0.8791576240082566
342.3891142959762,342.62340236964667,226.84261643850613,13.669913012689271,0.880436663023861
342.39486870804706,342.6291607193139,221.80792368337245,13.092886688773305,0.8373199404726703
342.40062312011787,342.6349190689811,216.77323092827214,13.05669487939632,0.8374446735333199
342.4063775321888,342.6406774186483,211.7385381731385,12.914458191868155,0.8294181850340508
342.41213194425967,342.64643576831554,206.70384541797162,12.879037447132783,0.8301687916142741
342.4178863563305,342.6521941179827,201.66915266290448,12.727733542773517,0.8187638166343243
342.42364076840136,342.6579524676498,196.63445990777083,12.609136299680685,0.8115582994321994
342.42939518047217,342.66371081731705,191.59976715263718,13.179332619773675,0.8455820299936191
342.4351495925431,342.66946916698424,186.56507439753685,12.612965161184727,0.8092736679202394
342.44090400461397,342.67522751665143,181.53038164240317,12.560915238757095,0.8100780972176517
342.4466584166848,342.6809858663187,176.4956888872363,12.441008312046076,0.7982245228524599
342.4524128287557,342.6867442159858,171.46099613216919,12.823039299030803,0.8254324391883976
342.45816724082647,342.692502565653,166.42630337703557,12.394700294327297,0.7967316131483272
342.4639216528974,342.6982609153202,161.3916106219352,12.126619677296903,0.7794040959787215
342.46967606496827,342.7040192649874,156.35691786680158,12.476264421551159,0.80447775458354
342.4754304770392,342.70977761465457,151.3222251116679,12.276852927420773,0.7858418681820837
342.48118488911,342.7155359643218,146.287532356501,12.467959073120056,0.800820318270272
342.4869393011808,342.72129431398895,141.25283960143392,12.759737238938653,0.8173730757986529
342.4926937132517,342.72705266365614,136.21814684633355,13.285714031430327,0.8513100615971578
342.49844812532257,342.7328110133233,131.1834540911999,13.065660858981799,0.839013937411588
342.50420253739344,342.7385693629905,126.14876133606629,13.486230026945092,0.8666617778575502
342.5099569494643,342.74432771265776,121.11406858089936,13.222766158487575,0.8460549225417773
342.5157113615352,342.75008606232495,116.079375825799,13.37592412757237,0.8564104282323532
342.521465773606,342.7558444119921,111.04468307069864,13.14446857506646,0.8418604254646517
342.52722018567687,342.76160276165933,106.00999031559827,13.019705432592872,0.8337211648862953
342.53297459774774,342.76736111132647,100.97529756046465,13.292125110398889,0.8529972497615043
342.5387290098186,342.7731194609937,95.94060480536429,13.739779153858608,0.8821373163652749
342.5444834218895,342.77887781066084,90.90591205019736,13.609295132676735,0.8744445784746967
342.55023783396035,342.78463616032815,85.87121929506371,13.456502857829207,0.8625170545118256
342.55599224603117,342.79039450999517,80.83652653999664,13.594832156953194,0.8707321492238126
342.5617466581021,342.79615285966236,75.80183378486299,13.524176111293357,0.8671034934049955
