#from https://www.astro.umd.edu/rareas/lma/lgm/properties/cs.pdf,,
QN,g,T
0,1,0
1,3,2.35
2,5,7.05
3,7,14.11
4,9,23.51
5,11,35.27
6,13,49.37
7,15,65.83
8,17,84.63
9,19,105.79
10,21,129.29
11,23,155.14
12,25,183.35
13,27,213.89
14,29,246.79
15,31,282.03
16,33,319.62
17,35,359.55
18,37,401.83
19,39,446.45
